<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
383, 113485, 107689, 115553, 108125, 107761, 110522
384, 98537, 97672, 98195, 101735, 93788, 97985
385, 92948, 94554, 94516, 93510, 96430, 94391
386, 96371, 95370, 95517, 98838, 97464, 96712
387, 90850, 97347, 89378, 92902, 96955, 93486
388, 94223, 95662, 91604, 96842, 88778, 93421
389, 83144, 82855, 81520, 84933, 80597, 82609
390, 82924, 105333, 80211, 99886, 79019, 89474
391, 78443, 81665, 77632, 91010, 82445, 82239
392, 78276, 81231, 81173, 96461, 82364, 83901
393, 78599, 81148, 81824, 103077, 84920, 85913
394, 85600, 80654, 80969, 106225, 81674, 87024
395, 77597, 80857, 91856, 94383, 96497, 88238
396, 98947, 91338, 95354, 94670, 98037, 95669
397, 96814, 95451, 95781, 97686, 97258, 96598
398, 95891, 98587, 97198, 90862, 107892, 98086
399, 82691, 91168, 85123, 91834, 84623, 87087
400, 83876, 83947, 94290, 97107, 97900, 91424
401, 114016, 110020, 137374, 110045, 118986, 118088
402, 101709, 96200, 98907, 100414, 100890, 99624
403, 100169, 99070, 100264, 99587, 102156, 100249
404, 102077, 103071, 103841, 101751, 101978, 102543
405, 102587, 106394, 134747, 106765, 100279, 110154
406, 105658, 105195, 104603, 104962, 93319, 102747
407, 105830, 106428, 105667, 109376, 92665, 103993
408, 103761, 101631, 104120, 101997, 102510, 102803
409, 109266, 102272, 102474, 94634, 102677, 102264
410, 104751, 103957, 104035, 104285, 103832, 104172
411, 104669, 104355, 103578, 105879, 102236, 104143
412, 110991, 104591, 115945, 102844, 107332, 108340
413, 104315, 102553, 102595, 105929, 104589, 103996
414, 108712, 101394, 104320, 107089, 105949, 105492
415, 106761, 109251, 87383, 93590, 113553, 102107
416, 106829, 107628, 109329, 110726, 107969, 108496
417, 103380, 102888, 95179, 125849, 79418, 101342
418, 92062, 90973, 91164, 77045, 94488, 89146
419, 92833, 92683, 92795, 104555, 94686, 95510
420, 91097, 92703, 91795, 104363, 92090, 94409
421, 92259, 93177, 93675, 100944, 92998, 94610
422, 91555, 92639, 92297, 108773, 95896, 96232
423, 88931, 91270, 112764, 112389, 111331, 103337
424, 110010, 115548, 115768, 133960, 112161, 117489
425, 99213, 95315, 93125, 93972, 95655, 95456
426, 91125, 94276, 103936, 116209, 92979, 99705
427, 90228, 91808, 93052, 111422, 92306, 95763
428, 89212, 92776, 91709, 130162, 97359, 100243
429, 95286, 97117, 106621, 96483, 105951, 100291
430, 107569, 124570, 110609, 114185, 113599, 114106
431, 114498, 111128, 112463, 114129, 114928, 113429
432, 116064, 105093, 114822, 114992, 114590, 113112
433, 116263, 118735, 119627, 118545, 99391, 114512
434, 93513, 96299, 104500, 95410, 94192, 96782
435, 134185, 98973, 97568, 98008, 99268, 105600
436, 97332, 105528, 98489, 98333, 98910, 99718
437, 103168, 105164, 97716, 97886, 97629, 100312
438, 94842, 103366, 95388, 96104, 95923, 97124
439, 95545, 103628, 95731, 95493, 95781, 97235
440, 106971, 107320, 96652, 97495, 97201, 101127
441, 95384, 105776, 97060, 96568, 96248, 98207
442, 94976, 105196, 105196, 100161, 98887, 100883
443, 98340, 102372, 100170, 100499, 101317, 100539
444, 99438, 110182, 100206, 100800, 104907, 103106
445, 100233, 116381, 100700, 100324, 100790, 103685
446, 101622, 110191, 102232, 101920, 105066, 104206
447, 106916, 102912, 102182, 102217, 110837, 105012
448, 100987, 101708, 102296, 129787, 103007, 107557
449, 101624, 102460, 102247, 81700, 102481, 98102
450, 102400, 104663, 112616, 102811, 103112, 105120
451, 103081, 115543, 104697, 103294, 103760, 106075
452, 110273, 111560, 103597, 112369, 111596, 109879
453, 104881, 103255, 102767, 103114, 103239, 103451
454, 85971, 104673, 106244, 105545, 130308, 106548
455, 103622, 107368, 107544, 123630, 119429, 112318
456, 118308, 124730, 127204, 122966, 123639, 123369
457, 133385, 119375, 120932, 131228, 126965, 126377
458, 121225, 110107, 104727, 104581, 104184, 108964
459, 118705, 124780, 127887, 126377, 122534, 124056
460, 104192, 125046, 127565, 127092, 127528, 122284
461, 129586, 125560, 129918, 184039, 153853, 144591
462, 101480, 107496, 111250, 157096, 103072, 116078
463, 115239, 103001, 127598, 101106, 100635, 109515
464, 98479, 120200, 145699, 99246, 110211, 114767
465, 120228, 112078, 137462, 108506, 132466, 122148
