<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
353, 393961, 392581, 413562, 369027, 406342, 395094
354, 405214, 401232, 396067, 392855, 394047, 397883
355, 396097, 396864, 398883, 396629, 394540, 396602
356, 398377, 440118, 416644, 467815, 417559, 428102
357, 402474, 400850, 400230, 403005, 400661, 401444
358, 401827, 401367, 425973, 436360, 467702, 426645
359, 512437, 652331, 748805, 702237, 546426, 632447
360, 494088, 512782, 411128, 408544, 491776, 463663
361, 526159, 436911, 393144, 413195, 413342, 436550
362, 408203, 417263, 436724, 481872, 451192, 439050
363, 415153, 422541, 413172, 394854, 429799, 415103
364, 404475, 416719, 419676, 400612, 425776, 413451
365, 429201, 418868, 428929, 384800, 413525, 415064
366, 368356, 385955, 402234, 375449, 427399, 391878
367, 421009, 419297, 405172, 404805, 405233, 411103
368, 417340, 468263, 433144, 367739, 407981, 418893
369, 421896, 469731, 489835, 430879, 425639, 447596
370, 425827, 450584, 425331, 425410, 411912, 427812
371, 431026, 427280, 414279, 382835, 443904, 419864
372, 911192, 378881, 375809, 375026, 443948, 496971
373, 409219, 394330, 386999, 377119, 375266, 388586
374, 377930, 376890, 377137, 424130, 497354, 410688
375, 596479, 462392, 414659, 400958, 466319, 468161
376, 588191, 414250, 636052, 465941, 505227, 521932
377, 602410, 560269, 432572, 469933, 434788, 499994
378, 464104, 504752, 388232, 448632, 387429, 438629
379, 614989, 575639, 567474, 398740, 502158, 531800
380, 405354, 452437, 393854, 392692, 389754, 406818
381, 399140, 390945, 391243, 586985, 408880, 435438
382, 407562, 459558, 489977, 444400, 503083, 460916
383, 462421, 469330, 405087, 453595, 401652, 438417
384, 414473, 454999, 413007, 444909, 470354, 439548
385, 479483, 471996, 512110, 597349, 444107, 501009
386, 510230, 467585, 484477, 487384, 513105, 492556
387, 568554, 558885, 513033, 546430, 498616, 537103
388, 556669, 581997, 739759, 611352, 508866, 599728
389, 422799, 412391, 426418, 453335, 494050, 441798
390, 452393, 492375, 570388, 491527, 410844, 483505
391, 563766, 585845, 459000, 468252, 434676, 502307
392, 473975, 498383, 449022, 523810, 414013, 471840
393, 411180, 532843, 592748, 453269, 419423, 481892
394, 651572, 649793, 455395, 422571, 457961, 527458
395, 419319, 421619, 474121, 638295, 489614, 488593
396, 453431, 446295, 497532, 421539, 450632, 453885
397, 493874, 422338, 419493, 504512, 487336, 465510
398, 442166, 446903, 487401, 518853, 500237, 479112
399, 442110, 509789, 431813, 499791, 445004, 465701
400, 461237, 530829, 666459, 517461, 439314, 523060
401, 478699, 509776, 515299, 447841, 518025, 493928
402, 541388, 591985, 500961, 437688, 429939, 500392
403, 429690, 609409, 441158, 568506, 503717, 510496
404, 474814, 611607, 516402, 550693, 549270, 540557
405, 555289, 752050, 748412, 595503, 438705, 617991
406, 757709, 818441, 810162, 767664, 623453, 755485
407, 484024, 582727, 662905, 804497, 758000, 658430
408, 943601, 1018119, 1307969, 1294306, 1396436, 1192086
409, 1132544, 1254822, 1058429, 978236, 1172739, 1119354
410, 1266159, 1053287, 1046893, 1154084, 1214397, 1146964
411, 1475752, 1332056, 1120084, 1011216, 961714, 1180164
412, 1102539, 1083904, 1149761, 1261291, 874223, 1094343
413, 1144478, 920950, 1061414, 1091615, 1473627, 1138416
414, 1112016, 1201822, 976864, 898475, 926955, 1023226
415, 937370, 977176, 1145398, 1193404, 905710, 1031811
416, 900644, 989700, 1011781, 1052866, 1385047, 1068007
417, 1045781, 992658, 1107912, 898927, 1068347, 1022725
418, 1178074, 1168934, 915363, 1027082, 1048663, 1067623
419, 996450, 1113442, 901976, 1007660, 970345, 997974
420, 1001096, 1113079, 973088, 1096542, 991544, 1035069
421, 1069799, 970655, 1031094, 1023444, 986991, 1016396
422, 903606, 2421396, 1544935, 1602794, 1242609, 1543068
423, 1411084, 1470366, 1077718, 1110475, 1110983, 1236125
424, 1263578, 1041372, 995478, 1110291, 1061622, 1094468
425, 1171657, 1046910, 1389917, 1275821, 1153994, 1207659
426, 1333496, 1322179, 1147876, 1296652, 936571, 1207354
427, 1075728, 1048975, 1062134, 965483, 955482, 1021560
428, 934568, 1094256, 1970902, 1572146, 1446575, 1403689
429, 2224782, 1475896, 1219576, 1112389, 1180113, 1442551
430, 1248097, 951121, 921412, 1201532, 986549, 1061742
431, 941815, 989347, 1538684, 1474135, 1857941, 1360384
432, 1401997, 1499290, 1292762, 1144745, 1200108, 1307780
433, 1417030, 1018452, 1220525, 1071441, 1062007, 1157891
434, 1198360, 1384863, 1133382, 957091, 956939, 1126127
435, 940973, 1165335, 1641780, 1264240, 1111875, 1224840
436, 968614, 1291670, 1474839, 1338501, 1076004, 1229925
437, 1065413, 1154192, 1425382, 1545814, 1428365, 1323833
438, 2074274, 794878, 620222, 805816, 819622, 1022962
439, 995073, 599165, 806149, 791332, 799460, 798235
440, 691163, 583290, 935735, 809637, 699887, 743942
441, 670237, 556301, 518248, 501181, 501303, 549454
442, 503697, 501383, 500561, 504013, 596958, 521322
443, 637924, 568636, 506347, 533751, 578641, 565059
444, 599062, 516047, 517717, 710561, 525723, 573822
445, 553382, 518582, 611785, 510103, 502964, 539363
