<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
346, 159784, 177170, 161034, 158920, 161810, 163743
347, 163879, 161182, 160821, 162629, 161090, 161920
348, 165542, 164448, 162768, 162564, 164582, 163980
349, 165000, 166692, 213063, 184953, 164401, 178821
350, 168583, 170757, 165957, 167904, 166255, 167891
351, 168705, 169767, 360681, 259389, 181017, 227911
352, 181489, 173897, 183227, 172343, 172575, 176706
353, 176759, 173596, 173025, 177785, 174393, 175111
354, 215827, 176821, 222314, 317733, 327843, 252107
355, 319867, 318472, 310673, 328655, 340441, 323621
356, 336311, 332459, 323770, 331772, 327152, 330292
357, 335091, 337967, 317379, 335668, 354616, 336144
358, 351401, 342094, 342877, 340383, 340060, 343363
359, 347709, 343975, 343386, 388911, 342505, 353297
360, 353674, 349076, 345457, 344955, 363468, 351326
361, 205802, 219596, 219633, 216725, 211560, 214663
362, 218367, 256614, 311770, 343873, 357569, 297638
363, 364997, 361986, 245856, 197376, 197231, 273489
364, 199511, 427213, 239803, 187543, 184865, 247787
365, 192050, 184302, 183718, 182735, 182136, 184988
366, 213157, 184121, 183307, 182150, 182046, 188956
367, 188154, 183671, 183325, 183744, 183306, 184440
368, 188915, 191990, 186885, 185045, 184955, 187558
369, 197686, 187858, 187013, 202694, 187072, 192464
370, 193654, 239669, 190215, 188985, 189115, 200327
371, 194210, 191801, 190690, 191108, 193563, 192274
372, 193384, 192905, 192018, 193146, 193651, 193020
373, 219400, 194559, 194782, 194429, 197201, 200074
374, 197456, 197532, 196720, 201822, 196417, 197989
375, 199877, 198534, 199041, 201167, 198910, 199505
376, 200356, 200674, 201050, 201707, 200015, 200760
377, 202818, 202968, 204129, 202812, 203342, 203213
378, 204782, 205049, 209072, 211865, 204998, 207153
379, 207498, 208796, 206487, 205981, 205664, 206885
380, 208537, 211842, 207429, 207346, 207504, 208531
381, 213169, 210582, 273771, 221643, 218013, 227435
